"Kurikulum Program Studi Informatika, Program Sistem Informasi Bisnis, dan Program Data Science and Analytics (8 Semester)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Semester 1,,,,,,,,,,
No.,Kode,Mata Kuliah,IF,SIB,DSA,Prasyarat,,,,
1,TF4590,Data Analytics Essentials,2,0,2,,,,,
2,TF4249,Pengantar Akuntansi,0,2,0,,,,,
3,TF4205,Dasar Sistem Komputer,2,2,2,,,,,
4,TF4204,Algoritma dan Pemrograman (AP) ~ *,5,5,5,,,,,
5,FD4505,Kalkulus I,3,3,3,,,,,
6,TF4504,Bahasa Inggris,2,2,2,,,,,
7,DU4197,Agama & Hidup Bermakna (AHB) #,4,4,4,,,,,
8,DU4122,Bahasa Indonesia,2,2,2,,,,,
,,Jumlah,20,20,20,,,,,
,,,,,,,,,,
Semester 2,,,,,,,,,,
No.,Kode,Mata Kuliah,IF,SIB,DSA,Prasyarat,,,,
1,TF4229,Basis Data (BD) ~,3,3,3,,,,,
2,TF4253,Jaringan Komputer (JarKom),3,3,3,,,,,
3,TF4235,Pemrograman Berorientasi Obyek (PBO) ~,3,3,3,L. AP (TF4204),,,,
4,TF4245,Matematika Diskrit (MatDis),3,3,3,,,,,
5,TF4227,Statistika Dasar (StatDas) ~,3,3,3,,,,,
6,TF4267,Komunikasi Interpersonal (Komal),3,3,3,,,,,
7,DU4101,Pancasila #,2,2,2,,,,,
,,Jumlah,20,20,20,,,,,
,,,,,,,,,,
Semester 3,,,,,,,,,,
No.,Kode,Mata Kuliah,IF,SIB,DSA,Prasyarat,,,,
1,TF4591,Software Design and Architecture,3,0,0,K. BD (TF4229),,,,
2,TF4327,Analisis dan Desain Sistem Informasi (ADSI),0,3,0,K. BD (TF4229),,,,
3,TF4372,Arsitektur dan Organisasi Komputer (AOK),3,3,3,,,,,
4,TF4343,Teknologi Web (TekWeb),3,3,3,,,,,
5,TF4219,Struktur Data (SD) ~,3,3,3,K. PBO (TF4235),,,,
6,TF4270,Desain dan Analisis Algoritma (DAA) ~,3,0,3,K. PBO (TF4235),,,,
7,TF4521,Tata Kelola Teknologi Informasi (TatKelTI),0,3,0,,,,,
8,TF4333,Data Mining (DatMin),0,0,3,K. StatDas (TF4227),,,,
9,DU4164,Kewarganegaraan #,2,2,2,K. Pancasila (DU4101),,,,
10,DU4198,Digital Leadership #,2,2,2,,,,,
,,Jumlah,19,19,19,,,,,
,,,,,,,,,,
Semester 4,,,,,,,,,,
No.,Kode,Mata Kuliah,IF,SIB,DSA,Prasyarat,,,,
1,TF4255,Rekayasa Perangkat Lunak (RPL),3,3,3,K. BD (TF4229),,,,
2,TF4408,Analisis Proses Bisnis (APB),0,3,0,K. ADSI (TF4327),,,,
3,TF4544,Cyber Operations (CyOps) #,3,3,3,K. JarKom (TF4253),,,,
4,TF4243,Sistem Operasi (SO),3,3,3,,,,,
5,TF4578,Artificial Intelligence and Machine Learning (AIML) #,3,3,3,K. SD (TF4219),,,,
6,TF4579,Web Frameworks and Deployment #,3,3,3,K. TekWeb (TF4343),,,,
7,FD4507,Aljabar Linier (ALin),3,0,3,,,,,
8,DU4163,Etika Profesi #,2,2,2,L. AHB (DU4197),,,,
,,Jumlah,20,20,20,,,,,
,,,,,,,,,,
Semester 5,,,,,,,,,,
No.,Kode,Mata Kuliah,IF,SIB,DSA,Prasyarat,,,,
1,TF4507,Sistem Terdistribusi,3,3,3,K. SO (TF4243),,,,
2,TF4546,User Experience,3,3,3,,,,,
3,TF4550,Presentasi dan Visualisasi Data,0,0,3,K. DatMin (TF4333),,,,
4,TF4414,Enterprise Resource Planning (ERP),0,3,0,K. APB (TF4408),,,,
5,TF4415,Grafika Komputer (GrafKom),3,0,0,"K. SD (TF4219), K. ALin (FD4507)",,,,
6,TF4247,Metode Numerik,3,0,3,,,,,
7,TF4551,Statistika Terapan,0,0,3,K. StatDas (TF4227),,,,
8,TF4402,Matematika Bisnis (MatBis),0,3,0,,,,,
9,,MK Konsentrasi (1x),3,3,0,Selesai >= 60 SKS,,,,
10,FD4508,Technopreneurship #,3,3,3,Selesai >= 60 SKS,,,,
,,Jumlah,18,18,18,,,,,
,,,,,,,,,,
Semester 6 (LEaP: Glocal Exposure),,,,,,,,,,
No.,Kode,Mata Kuliah,IF,SIB,DSA,Prasyarat,,,,
1,TF4261,Kerja Praktek,2,2,2,Selesai >= 85 SKS,,,,
